Date,Open,High,Low,Close,Adj Close,Volume
2018-03-29,855.820007,865.989990,854.609985,865.989990,865.989990,813000
2018-03-30,869.859985,873.039978,867.109985,871.090027,871.090027,764000
2018-04-02,876.849976,876.849976,865.830017,867.799988,867.799988,844100
2018-04-03,857.830017,872.320007,857.400024,872.320007,872.320007,722800
2018-04-04,877.150024,877.150024,858.289978,862.510010,862.510010,821300
2018-04-05,871.090027,873.640015,865.919983,868.929993,868.929993,846400
2018-04-06,867.429993,869.809998,863.919983,867.960022,867.960022,861800
2018-04-09,866.750000,874.440002,865.500000,874.440002,874.440002,857700
2018-04-10,876.219971,877.299988,866.739990,877.299988,877.299988,1012200
2018-04-11,882.580017,886.140015,880.869995,885.380005,885.380005,886300
2018-04-12,888.200012,889.020020,879.169983,881.450012,881.450012,998000
2018-04-13,884.119995,892.750000,877.739990,891.869995,891.869995,1011500
2018-04-16,895.320007,899.200012,894.090027,896.890015,896.890015,1017000
2018-04-17,900.500000,901.219971,896.830017,901.219971,901.219971,1309000
2018-04-18,905.619995,906.059998,890.729980,893.320007,893.320007,1538000
2018-04-19,892.200012,892.200012,878.190002,882.729980,882.729980,1681300
2018-04-20,885.590027,892.010010,880.679993,889.169983,889.169983,1406700
2018-04-23,888.390015,890.320007,877.359985,879.020020,879.020020,1408100
2018-04-24,881.580017,883.780029,873.219971,873.609985,873.609985,1201400
2018-04-25,869.309998,879.000000,862.049988,869.929993,869.929993,1177700
2018-04-26,876.270020,879.869995,874.210022,879.390015,879.390015,957400
2018-04-27,886.369995,886.619995,880.030029,886.489990,886.489990,1114100
2018-04-30,886.289978,886.599976,870.539978,875.950012,875.950012,1351100
2018-05-02,869.520020,877.539978,863.590027,871.030029,871.030029,1357600
2018-05-03,873.340027,876.080017,866.049988,866.070007,866.070007,1354500
2018-05-04,868.349976,870.099976,856.340027,856.340027,856.340027,1098000
