Date,Open,High,Low,Close,Adj Close,Volume,,Date,Open,High,Low,Close,Adj Close,Volume,,,NAS,KOS
8/22/2017,643.26001,644.380005,642.640015,644.26001,644.26001,649800,,8/22/2017,6241.209961,6302.839844,6241.209961,6297.47998,6297.47998,1597700000,,,,
8/23/2017,647.789978,647.789978,643.650024,643.710022,643.710022,559500,,8/23/2017,6263.470215,6291.299805,6263.290039,6278.410156,6278.410156,1533220000,,,,
8/24/2017,645.099976,647.98999,644.97998,647.710022,647.710022,500100,,8/24/2017,6294.819824,6302.850098,6244.569824,6271.330078,6271.330078,1616780000,,,,
8/25/2017,649.219971,650.76001,648.440002,650.27002,650.27002,585000,,8/25/2017,6293.810059,6308.720215,6257.100098,6265.640137,6265.640137,1442900000,,,,
8/28/2017,652.369995,652.940002,649.539978,652.919983,652.919983,513800,,8/28/2017,6286.009766,6292.259766,6267.850098,6283.02002,6283.02002,1558690000,,,,
8/29/2017,650.280029,654.02002,647.130005,653.960022,653.960022,572900,,8/29/2017,6228.899902,6311.259766,6228.72998,6301.890137,6301.890137,1637640000,,,,
8/30/2017,656.900024,657.429993,654.48999,655,655,639500,,8/30/2017,6308.680176,6374.470215,6303.569824,6368.310059,6368.310059,1712070000,,,,
8/31/2017,657.130005,658.030029,655.640015,657.830017,657.830017,616000,,8/31/2017,6385.799805,6435.27002,6383.580078,6428.660156,6428.660156,1885710000,,,,
9/1/2017,660.710022,662.390015,658.650024,661.98999,661.98999,566100,,9/1/2017,6442.169922,6449.649902,6417.870117,6435.330078,6435.330078,1488040000,,,,
9/5/2017,655.400024,656.219971,645.969971,648.75,648.75,621100,,9/5/2017,6414.819824,6426.509766,6334.589844,6375.569824,6375.569824,1886950000,,,,
9/6/2017,649.22998,653.440002,649.22998,652.590027,652.590027,568500,,9/6/2017,6394.350098,6407.399902,6356.200195,6393.310059,6393.310059,1906030000,,,,
9/7/2017,655.440002,659.119995,655.359985,658.47998,658.47998,499900,,9/7/2017,6402.939941,6413.069824,6379.810059,6397.870117,6397.870117,1998380000,,,,
9/8/2017,659.830017,660.630005,653.340027,654.289978,654.289978,646300,,9/8/2017,6389.649902,6391.410156,6354.959961,6360.189941,6360.189941,1785560000,,,,
9/11/2017,657.679993,659.469971,654.919983,656.530029,656.530029,578300,,9/11/2017,6411.180176,6439.109863,6410.709961,6432.259766,6432.259766,1819300000,,,,
9/12/2017,660.030029,660.559998,658.049988,660.049988,660.049988,652300,,9/12/2017,6448.810059,6455.029785,6429.540039,6454.279785,6454.279785,1745090000,,,,
9/13/2017,662.940002,662.940002,658.539978,659.090027,659.090027,672500,,9/13/2017,6440.720215,6460.419922,6433.200195,6460.189941,6460.189941,1942090000,,,,
9/14/2017,660.150024,665.469971,659.25,665.409973,665.409973,627100,,9/14/2017,6439.459961,6455.319824,6424.040039,6429.080078,6429.080078,1809170000,,,,
9/15/2017,662.900024,671.309998,662.900024,671.299988,671.299988,645600,,9/15/2017,6426.160156,6464.27002,6419.649902,6448.470215,6448.470215,2821110000,,,,
